ASV,16S_1_Starch_B,16S_1_Starch_C,16S_1_Sucrose_A,16S_1_Sucrose_B,16S_1_Sucrose_C,16S_1_Cellulose_A,16S_1_Cellulose_B,16S_1_Cellulose_C,16S_1_Starch_A,16S_Control_A,16S_Control_B,16S_Control_C
ASV_16S_1,1467,1148,709,879,445,1289,1700,1367,861,1434,1839,1727
ASV_16S_2,22,63,131,33,59,19,67,42,327,0,0,0
ASV_16S_3,0,0,39,0,17,0,0,0,74,0,0,0
ASV_16S_4,0,0,201,91,153,0,0,0,0,0,0,0
ASV_16S_5,0,0,0,0,0,0,15,0,0,0,0,0
ASV_16S_6,500,326,261,273,178,411,536,344,267,390,476,582
ASV_16S_7,431,254,348,190,187,384,446,280,279,320,459,443
ASV_16S_8,374,237,75,92,37,326,423,283,232,350,380,411
ASV_16S_9,351,217,168,208,138,302,385,222,224,308,373,424
ASV_16S_10,0,0,2502,1624,2000,0,0,0,0,0,0,0
ASV_16S_11,324,291,97,104,63,237,282,260,134,292,276,291
ASV_16S_12,197,178,373,295,339,197,223,205,195,216,247,217
ASV_16S_13,212,185,86,161,57,207,264,243,183,250,320,283
ASV_16S_14,303,158,43,55,0,248,328,217,155,274,301,310
ASV_16S_15,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16S_16,229,190,106,147,69,229,317,207,134,219,291,323
ASV_16S_17,141,107,142,211,65,93,155,92,132,146,146,124
ASV_16S_18,256,167,62,116,57,197,264,174,120,174,220,229
ASV_16S_19,252,181,0,85,36,230,226,247,147,148,267,241
ASV_16S_20,193,167,152,190,125,188,204,192,156,230,185,202
ASV_16S_21,214,165,61,144,53,198,244,186,117,170,241,245
ASV_16S_22,246,169,29,59,10,212,284,232,93,137,275,255
ASV_16S_23,210,139,41,68,20,189,221,193,110,175,213,212
ASV_16S_24,253,150,48,72,38,197,243,183,105,147,249,273
ASV_16S_25,217,196,85,128,92,188,190,203,123,233,204,228
ASV_16S_26,108,67,140,101,66,99,155,62,94,121,106,162
ASV_16S_27,149,66,242,123,74,132,115,95,241,78,90,86
ASV_16S_28,175,219,0,103,0,147,178,234,159,230,213,219
ASV_16S_29,158,131,86,133,88,154,222,148,119,164,161,172
ASV_16S_30,183,140,49,87,26,131,234,184,129,208,181,163
ASV_16S_31,181,154,158,178,116,162,190,161,116,194,195,199
ASV_16S_32,273,268,27,56,17,187,188,170,75,147,196,146
ASV_16S_33,176,151,58,88,42,151,181,206,104,138,209,214
ASV_16S_34,0,0,1270,1519,1807,0,0,0,0,0,0,0
ASV_16S_35,150,150,30,56,17,147,171,159,89,148,198,209
ASV_16S_36,127,145,99,119,60,146,180,134,88,162,184,210
ASV_16S_37,0,0,1185,2290,1056,0,0,0,0,0,0,0
ASV_16S_38,160,137,102,157,91,119,182,133,99,157,188,153
ASV_16S_39,168,125,26,57,0,141,173,124,110,142,211,206
ASV_16S_40,143,103,69,75,29,142,161,109,87,138,128,156
ASV_16S_41,169,74,155,39,54,153,193,97,87,131,160,184
ASV_16S_42,210,133,0,109,0,141,120,140,107,133,144,139
ASV_16S_43,155,89,52,85,37,129,164,91,100,114,163,157
ASV_16S_44,162,108,82,121,48,121,158,150,84,137,172,161
ASV_16S_45,120,150,95,152,115,129,144,142,88,118,150,150
ASV_16S_46,161,91,31,35,23,146,171,132,77,137,149,155
ASV_16S_47,171,84,17,50,7,128,153,86,101,127,149,173
ASV_16S_48,137,96,27,57,23,130,126,146,72,94,189,177
ASV_16S_49,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16S_50,143,108,26,59,43,130,135,110,77,129,156,154
ASV_16S_51,0,0,1521,1469,1042,0,0,0,0,0,0,0
