ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_16S_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,ASV_16S_1
ASV_16S_2,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,ASV_16S_2
ASV_16S_3,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,Promicromonospora,ASV_16S_3
ASV_16S_4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,ASV_16S_4
ASV_16S_5,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,ASV_16S_5
ASV_16S_6,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,ASV_16S_6
ASV_16S_7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA,ASV_16S_7
ASV_16S_8,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,ASV_16S_8
ASV_16S_9,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,ASV_16S_9
ASV_16S_10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,ASV_16S_10
ASV_16S_11,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,ASV_16S_11
ASV_16S_12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,ASV_16S_12
ASV_16S_13,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,ASV_16S_13
ASV_16S_14,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,ASV_16S_14
ASV_16S_15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,ASV_16S_15
